Lab number,Field number,Material dated,Taxa dated,Type of date,Locality,Map sheet,Elevation (m ASL),Submitter,Date submitted,Collector,Date collected,Updater,Date updated,Measured age,MA Sigma,Normalized age,NA Sigma,Delta 13C (per mil),Delta 13C Source,Significance,Site identifier,Site name,Latitude,Longitude,Stratigraphic component,Context,Associated taxa,Additional information,Comments,References
Beta-23710,,packrat midden; fumier de rat,Neotoma sp.,,Kane County; Utah,a,,J.I. Mead,,,,,,,,13110,100,,,palaeobiology; paléobiologie,42KA-VP,Shrubox Alcove,,,,upper deposits; fluvial and eolian sediments; and roof spall,,,,Mead and Agenbroad; 1992; Faunmap 2794
Beta-24422,ETH-3893,mammoth bone collagen; collagène osseux de mammouth,Mammuthus sp. tusk,,Grand County; Utah,a,,L.D. Agenbroad,,,,,,,,10350,110,,,palaeobiology; paléobiologie,42GR-?,Professor Valley,,,,alluvium,,,,Agenbroad and Mead; 1989; Faunmap 2793
Beta-25411,,wood; bois,Quercus sp. twigs,,Kane County; Utah,a,,J.I. Mead,,,,,,,,12010,110,,,palaeobiology; paléobiologie,42KA-VP,Shrubox Alcove,,,,upper deposits; fluvial and eolian sediments; and roof spall,,,,Mead and Agenbroad; 1992; Faunmap 2794
Beta-25412,,wood; bois,Quercus sp. twigs,,Kane County; Utah,a,,J.I. Mead,,,,,,,,10630,110,,,palaeobiology; paléobiologie,42KA-VP,Shrubox Alcove,,,,upper deposits; fluvial and eolian sediments; and roof spall,,,,Mead and Agenbroad; 1992; Faunmap 2794
Beta-25413,,wood; bois,Quercus sp. twig,,Glen Canyon National Recreation Area; Kane County; Utah,a,,J.I. Mead,,,,,,,,23100,660,,,palaeobiology; paléobiologie,42KA-VP,Shrubox Alcove,,,,bottom of a sequence of eolian and roof spall layers containing oak twigs and dung pellets,,,,Mead and Agenbroad; 1992
Beta-25416,,wood; bois,Quercus sp. 2 twigs (0.5 g C),,Glen Canyon National Recreation Area; Kane County; Utah,a,,J.I. Mead,,,,,,,,12690,180,,,palaeobiology; paléobiologie,42KA-VP,Shrubox Alcove,,,,within a sequence of eolian and roof spall layers containing oak twigs and dung pellets,,,,Mead and Agenbroad; 1992
Beta-25419,,mammoth feces; fèces de mammouth,Mammuthus sp.,,Glen Canyon National Recreation Area; Kane County; Utah,a,,J.I. Mead,,,,,,,,12010,160,,,palaeobiology; paléobiologie,42KA-VP,Shrubox Alcove,,,,one of three small fragments of what appeared to be a single crushed dung bolus; recovered from loose sand,,,,Mead and Agenbroad; 1992
Beta-25656,,wood; bois,Quercus sp. twig (0.25 g C),,Glen Canyon National Recreation Area; Kane County; Utah,a,,J.I. Mead,,,,,,,,8830,190,,,palaeobiology; paléobiologie,42KA-VP,Shrubox Alcove,,,,within a sequence of eolian and roof spall layers containing oak twigs and dung pellets,,,,Mead and Agenbroad; 1992
Beta-28790,,feces; fèces,"""Euceratherium"" (shrubox?)",,Glen Canyon; San Juan County; Utah,a,,J.I. Mead,,,,,,,,12510,190,,,palaeobiology; paléobiologie,42SA20858,Cottonwood Alcove,,,,parts of two pellets,,,,Mead and Agenbroad; 1992
Beta-122767,,ungulate feces; fèces d' ongulé,Artiodactyla,,Camels Back Ridge; Tooele County; Utah,e,,D.N. Schmitt,,,,,,,,8810,70,,,palaeobiology; paléobiologie,42TO-?,Sandwich Shelter,,,,middle of stratum 2a,,,,Schmitt et al.; 2002
Beta-144431,,coyote feces; fèces de coyote,cf. Canis latrans,,Camels Back Ridge; Tooele County; Utah,e,,D.N. Schmitt,,,,,,,,9560,40,,,palaeobiology; paléobiologie,42TO-?,Sandwich Shelter,,,,top of stratum 1; providing a minimum age for the fauna overlying Lake Bonneville gravels,,,,Schmitt et al.; 2002
GX-9371,,feces; fèces,,,southern Waterpocket Fold; Kane County; Utah,a,,O.K. Davis,,,,,,,,13505,580,,,palaeobiology; paléobiologie,42KA2546,Bechan Cave,,,,sample pit M; mixed dung blanket material,,,,Mead and Agenbroad; 1992; Faunmap 1055; Davis et al.; 1984
GX-11312,,goat feces; fèces de chèvre,Oreamnos harringtoni,,Natural Bridges National Monument; San Juan County; Utah,a,,J.I. Mead,,,,,,,,,,-25.2,,palaeobiology; paléobiologie,42SA-?,Dust Devil Cave (NA7613),,,,pellets from Layer 0; basal level in the 100-cm profile,,,,Mead and Agenbroad; 1992
GX-11313,,goat feces; fèces de chèvre,Oreamnos harringtoni,,Natural Bridges National Monument; San Juan County; Utah,a,,J.I. Mead,,,,,,,,23350,,-26,,palaeobiology; paléobiologie,42SA-?,Dust Devil Cave (NA7613),,,,pellets from Layer 2,,,,Mead and Agenbroad; 1992
UGa-636,3,feces; fèces,Bison? sp.,,Upper Barrier Canyon; Wayne County; Utah,e,,J.D. Jennings,,,,,,11810,140,11810,140,,,palaeobiology; paléobiologie,42WN420,Cowboy Cave,,,Stratum 1,stratum 1b; probably disaggregated bison dung boluses,,,,Meltzer and Mead; 1985; Mead and Agenbroad; 1992; Agenbroad and Mead; 1989; Jennings; 1980; Faunmap 1069
GX-1287,,plant remains; restes de plantes,Artemisia sp. bark,,Box Elder County; Utah,a,,C.M. Aikens,,,,,,7815,350,7815,350,-25,,Palaeoindian; Stemmed; Paléoindien,42BO36,Hogup Cave,,,Stratum 4,stratum 4; square 100L80 (FS 119),,,,Willig and Aikens; 1988: 14; Marwitt and Fry; 1973; Aikens; 1970; Faunmap 1048; Swanson and Muto; 1975: 54)
Tx-132,,charcoal; charbon de bois,,,Garfield County; Utah,e,,J.D. Jennings,,,,,,900,85,900,85,-25,,Pueblo II-III; Anasazi,42GA34,Coombs,,,,room 13; structure A; an L-shaped surface structure,,,,Marwitt and Fry; 1973; Pearson et al.; 1965: 310
Tx-133,,charred wood; bois carbonisé,,,Garfield County; Utah,e,,J.D. Jennings,,,,,,1115,85,1115,85,-25,,Pueblo II-III; Anasazi,42GA34,Coombs,,,,structure Q; a pit house,,,,Marwitt and Fry; 1973; Pearson et al.; 1965: 310
Tx-134,,charcoal; charbon de bois,,,Garfield County; Utah,e,,J.D. Jennings,,,,,,795,80,795,80,-25,,Pueblo II-III; Anasazi,42GA34,Coombs,,,,room 9; structure G; a large U-shaped structure,,,,Marwitt and Fry; 1973; Pearson et al.; 1965: 310
Tx-135,,charcoal; charbon de bois,,,Garfield County; Utah,e,,J.D. Jennings,,,,,,785,80,785,80,-25,,Pueblo II-III; Anasazi,42GA34,Coombs,,,,room 2; structure J; a 2-room surface structure,,,,Marwitt and Fry; 1973; Pearson et al.; 1965: 310
